item_id,units_sold,revenue,sale_date
I21002,1504,1.4315178063E8,2030-01-01
I21117,387,5.582577391E7,2030-01-01
I20092,253,3764131.83,
I23949,620,6.433156123E7,2030-01-01
I45836,1908,5.708778055E7,2030-01-01
I60080,-1790,1.0360462524E8,2025-09-11
I60652,-1482,0.0,2025-10-18
I64361,1873,1.6542734174E8,2030-01-01
I67759,248,2.491191206E7,
I68205,1801,2.6425731922E8,2030-01-01
I69657,-240,3.347087886E7,2025-10-02
I75864,595,6.357544745E7,
I76022,-1791,2.3174298953E8,2025-09-25
I81714,1615,5.617717281E7,2030-01-01
I85568,-143,2.108587446E7,2030-01-01
I88811,1196,1.7717784831E8,
I88860,1743,4.671467012E7,2030-01-01
I92160,1891,0.0,2030-01-01
I92564,1016,8.103385748E7,
I95438,-1587,1.4149398424E8,2025-09-03
I101115,917,9.930516676E7,
I105102,504,6.196467053E7,
I112261,1799,1.7757489891E8,2030-01-01
I115150,1362,1.214044749E8,
I115634,852,6620888.98,2030-01-01
I115860,-116,4941618.26,2025-09-02
I119419,-423,5.565964554E7,2025-09-11
I120743,-1084,1.3699514382E8,2025-10-24
I126441,1679,1.4424171462E8,
I22953,-943,2.865450366E7,2025-09-02
I23009,-1903,1.4164304894E8,2025-09-17
I24849,839,7.567034659E7,
I30968,377,2.369803335E7,2030-01-01
I33371,315,1.384971246E7,2030-01-01
I33378,1167,1407278.27,
I33731,-500,6267115.76,2025-09-10
I38310,1086,6.607386496E7,
I39486,-1042,1.0480712652E8,2025-10-16
I40139,653,2.169817896E7,2030-01-01
I42663,-946,7.240259161E7,2025-09-02
I43465,1895,4.202333443E7,2030-01-01
I46766,1727,2.3218494318E8,
I48068,1158,1.1340296689E8,2030-01-01
I48326,-219,4871060.3,2025-10-23
I54889,-105,8534845.06,2025-10-20
I55028,-880,1.1711280915E8,2025-09-06
I58002,1651,3039405.34,2030-01-01
I69340,1658,1.7239665872E8,2030-01-01
I70731,183,1.738940267E7,
I80429,-923,1.0749703566E8,2025-10-18
I92957,-327,1.408405769E7,2025-09-26
I101173,-1652,1.7610454221E8,2025-09-27
I102311,1939,5.743525512E7,
I107318,211,2.602495398E7,
I107661,-550,6.596375417E7,2025-09-15
I116558,-1507,1.09246555E7,2025-09-15
I123984,-1520,1.2733243504E8,2025-09-04
I124068,1999,2.7858921511E8,2030-01-01
I10343,-929,2.404304634E7,2025-10-10
I14421,-1781,1.6994332135E8,2025-10-08
I23950,616,2.791455616E7,2030-01-01
I31818,949,2.435602147E7,2030-01-01
I31887,-1255,6.727048783E7,2030-01-01
I32883,891,9.048679804E7,2030-01-01
I36322,1409,9.443124523E7,2030-01-01
I41954,476,4.081180255E7,
I56650,997,2.990844439E7,
I64481,1388,1.763605639E8,
I68116,797,5.28932563E7,2030-01-01
I72644,771,3.420646425E7,2030-01-01
I73956,921,1.480316228E7,2030-01-01
I77553,-128,1.210259813E7,2030-01-01
I77854,849,3.239528315E7,
I81764,509,1.813691674E7,2030-01-01
I86994,-192,1.643117038E7,2025-10-13
I87601,1659,9.226085745E7,
I88239,-1684,1.6790301631E8,2025-09-27
I90495,1554,1.2101845018E8,
I94642,864,8.181556942E7,
I96485,254,2.410163455E7,2030-01-01
I98152,1113,1.599326006E7,
I98214,-972,2.162753534E7,2025-10-30
I107823,-981,1.365018327E8,2025-10-14
I116710,534,2.442160014E7,2030-01-01
I119811,-1401,1.9379415613E8,2025-10-30
I121863,-391,5.796422959E7,2025-10-02
I123013,558,2.945152938E7,
I126606,1893,1.3344839737E8,2030-01-01
I127945,357,1.241497297E7,
I19584,1409,6.417793294E7,2030-01-01
I20565,422,4.685677696E7,2030-01-01
I20626,397,1398211.54,2030-01-01
,1629,2.440617179E7,2030-01-01
I31799,1152,1.1066692953E8,
I37654,-915,1.041861025E8,2025-10-06
I40898,-176,9676005.09,2025-09-09
I45765,752,8.881812197E7,
I50028,1993,8.077540609E7,
I51227,1481,2.193297335E8,2030-01-01
I52828,435,2.980600088E7,
I53693,974,5.347939137E7,
I59874,685,2.567521552E7,
I62714,902,5.898542556E7,
I68516,1760,2.5393024179E8,2030-01-01
I69820,1717,1.9980019154E8,
I71154,1817,3.117095739E7,2030-01-01
I72154,81,901289.71,2030-01-01
I79382,1107,1.5684400436E8,
I85972,1883,1.1938299516E8,
I87914,1330,1.7614726252E8,2030-01-01
I89435,1056,1.90801839E7,
I90656,-1154,1.6386518006E8,2025-10-05
I91882,1811,6.267817321E7,2030-01-01
I112748,-1439,1.0799248225E8,2025-10-05
I116093,679,6.940462193E7,
I118074,1132,1.4601268924E8,2030-01-01
I124571,312,3.662886813E7,2030-01-01
I13826,-946,1.3660908529E8,2025-09-24
I31407,738,9.219241289E7,
I33759,1065,9.239243042E7,
I34158,1644,1.3404241672E8,2030-01-01
