item_id,units_sold,revenue,sale_date
I16764,1634,1.05951209E7,2030-01-01
,156,9100344.55,2025-09-11
,1543,2.0964884415E8,2025-10-18
I23602,-878,6424588.14,2025-10-09
I24376,666,9.533418466E7,
I29058,1624,2.3883606024E8,
I30551,1707,2.0321690397E8,2030-01-01
I31519,-239,1.05571846E7,2025-09-22
I35917,498,1.857557771E7,2030-01-01
I48325,688,7214941.57,
I60951,831,6.783750565E7,
I62673,1589,1.3594452729E8,
I64476,1397,1.7208941128E8,
I68682,1134,9.412290517E7,2030-01-01
I69904,491,1.316327819E7,2030-01-01
I76303,1207,8.386904819E7,
I77414,-1972,2.6319872931E8,2025-09-21
I78508,1759,1.3356141421E8,2030-01-01
I79948,1050,9.397656543E7,2030-01-01
I80630,-1506,1.0044406732E8,2025-09-14
I82512,1590,5.432050318E7,2030-01-01
I84257,-79,7941380.75,2025-09-12
I85036,-597,6.153872277E7,2025-09-17
I85601,-1338,1.9307548754E8,2025-09-03
I86751,1981,3.703869663E7,
I86801,-694,8.090782081E7,2025-09-14
I90665,95,1775756.56,2030-01-01
I95383,-1340,1.1961879562E8,2025-09-19
I96006,324,1.252649899E7,
I103527,-370,5.267707494E7,2025-10-26
I108214,-1138,8.269010391E7,2025-10-27
I109725,1333,0.0,
I110826,1222,1.115601878E8,2030-01-01
I114833,-546,1.293957441E7,2025-09-01
I115092,679,4.444965107E7,
I115766,1843,1.2954696803E8,
I120101,1807,2.4269720531E8,
I120474,636,4.807007864E7,2030-01-01
I120714,307,1.386527749E7,2030-01-01
I121196,833,2.548306897E7,
I124168,1874,7.119049397E7,2030-01-01
I125294,1229,1.2311038622E8,
I15481,650,3.514091948E7,2030-01-01
I22127,1981,1.3453349593E8,
I25201,1257,1.753697421E8,2030-01-01
I31208,-501,3.057733881E7,2025-10-21
I33325,-1976,8.26202222E7,2025-10-23
I39349,-1078,1.3228683307E8,2025-10-10
I47199,1449,1.7214645656E8,2030-01-01
I52770,581,7.050357974E7,
I54638,1783,1.8765064039E8,
I56388,617,1.570409309E7,2030-01-01
I59915,-1903,2.5221102485E8,2025-09-27
I60330,-902,1.809629066E7,2025-09-13
I64964,917,1.487696477E7,
I65530,-889,0.0,2025-09-11
I67760,248,2.618336924E7,2030-01-01
I68644,1465,1.1716282726E8,2030-01-01
I70679,-1026,6.481513229E7,2025-10-24
I71717,1936,1.310613428E7,
I77381,1484,1.6567717454E8,
I83981,824,1.0152918798E8,
I84462,1465,2.0100120826E8,2030-01-01
I88361,289,8817223.01,2030-01-01
I89639,1341,1.523446315E7,2030-01-01
I95365,1631,2.034753562E8,
I95773,-744,6.410750781E7,2025-09-23
I103628,300,3.163896226E7,
I105744,1097,5.459004253E7,
I106004,154,1.860973244E7,2030-01-01
I106347,1209,1.374674505E7,
I108391,-1522,2.256990838E8,2025-09-07
I115705,1625,2.233837377E8,2030-01-01
I116444,391,5.513023447E7,2030-01-01
I122854,1751,6.605793978E7,2030-01-01
I127052,1356,4.212984558E7,2030-01-01
I10726,-826,2.172096218E7,2025-09-02
I13740,1018,3.14761305E7,2030-01-01
I15496,1536,2.2507879027E8,2030-01-01
I20327,1036,7.760335105E7,2030-01-01
,1461,1.5508672531E8,2025-10-16
I28700,949,1.2961356596E8,
I33396,-1107,2.342234019E7,2025-09-10
I35846,1884,2.1725443506E8,
I41127,1307,1.1088328257E8,2030-01-01
I42503,-1552,5.15998108E7,2025-10-01
I42891,-1417,1.0523542148E8,2025-10-17
I46526,-50,4059562.14,2025-10-15
I50958,1788,1.014376673E8,
I54172,888,1.2425663416E8,
I54272,800,3.184999713E7,
I58478,918,1.3198419959E8,
I66493,-501,1.648581511E7,2025-09-23
I68034,1285,1.004430579E8,
I68402,1554,8.392749087E7,2030-01-01
I68830,-228,1.150001015E7,2025-10-19
I78618,1778,2.4780413823E8,2030-01-01
I78902,-817,8.528457638E7,2025-09-19
I80166,1926,1.570671493E8,
