item_id,units_sold,revenue,sale_date
I21243,1316,7.889049454E7,2030-01-01
I13770,1780,2.5427291856E8,
I14402,1924,1.5997435157E8,
I15547,1675,2.2898025565E8,
I38971,485,9828920.2,2030-01-01
I43470,-716,3.539102983E7,2030-01-01
I46471,-1480,1.881319416E7,2025-10-30
I47412,1872,6.350725886E7,
I52966,-1101,1.1121954263E8,2025-09-01
I54586,1237,1.09717573E7,2030-01-01
I55432,1457,1.787569468E7,
I56250,-1104,3.057475475E7,2025-10-18
I57298,1451,1.1368297757E8,2030-01-01
I60684,935,1.3651371E8,
I66051,1818,2.4982616666E8,2030-01-01
I66147,579,4.150664325E7,
I66894,-979,1.703907406E7,2025-09-06
I68394,-842,4.122675551E7,2025-10-05
I69920,1952,2.5166764257E8,
I74482,-1395,0.0,2025-09-27
I74664,1017,1.2515935413E8,2030-01-01
I76781,431,0.0,
I77968,718,7.009818408E7,
I91807,-843,6.854698368E7,2025-10-20
I96420,901,2.182467206E7,
I97147,955,7.573311325E7,2030-01-01
I99173,-729,6.849248356E7,2025-10-19
I115334,-1888,1.6811089268E8,2025-10-25
I115796,-1981,1.8115683268E8,2025-10-06
I117168,1491,1.8798618097E8,
I119531,1724,1.5991968366E8,
I123446,199,1.595957088E7,2030-01-01
I12938,-946,7.253355065E7,2025-10-11
,746,1.870779877E7,2025-09-14
I21180,497,4.816258063E7,
I23138,374,4.740186969E7,
I26305,-717,8.570199055E7,2025-10-25
I27406,1126,1.6609217009E8,2030-01-01
I30583,1812,1.1334065494E8,2030-01-01
I31872,1952,5.971551052E7,
I34775,-846,9.83386201E7,2025-09-29
I38291,447,7540429.27,
I40150,1984,2799613.37,
I44020,1857,1.3072905002E8,2030-01-01
I51324,358,3913087.38,
I51884,1887,9982306.13,2030-01-01
I54423,-184,1.132746978E7,2025-10-22
I57537,-843,1.159551503E7,2025-10-08
I59332,1262,1.7178925657E8,
I59381,758,822879.37,2030-01-01
I63410,-658,3.538202272E7,2025-09-15
I64686,1976,1.3767225659E8,2030-01-01
I71654,1656,9.236019652E7,
I74934,-904,3.625115209E7,2025-09-08
I86538,-1066,1.5122634197E8,2025-09-14
I86770,1530,2.0298433404E8,2030-01-01
I93580,1889,4.133912066E7,
I94325,609,6.258935719E7,2030-01-01
I94450,1089,6.324207669E7,2030-01-01
I97383,1486,2.0476547237E8,
I100184,-1722,1.4745299638E8,2025-09-15
I100368,346,3.373804589E7,2030-01-01
I105351,682,8828174.55,
I117575,-675,8.465562309E7,2025-10-13
I118278,-1531,9.50579466E7,2025-10-28
I122390,1239,1.1642776511E8,
I122739,1088,1.5384599647E8,
I124176,995,7.636577029E7,
I127461,-1496,4.470881531E7,2025-09-29
I10764,1338,1.3891195587E8,2030-01-01
I11083,1280,1.3459816364E8,2030-01-01
I46948,-1522,1.3597630715E8,2025-10-24
I49771,1231,1.196901149E8,2030-01-01
I55126,363,2.654406172E7,
I63336,1250,9.470004595E7,
I69047,-836,9469836.71,2025-09-06
I71048,1901,3.923114899E7,2030-01-01
I77363,1137,1.681382706E8,
I80508,1831,7.905228969E7,
I83416,-1332,9.240655068E7,2025-10-18
I86335,1997,5.209739132E7,
I87720,431,2.196396953E7,2030-01-01
I89671,-226,3.119404026E7,2025-09-03
I90779,1616,1.3352958745E8,
I91287,329,4.301754652E7,
I100674,-903,2.712064106E7,2025-10-29
I111761,1564,2.3078702609E8,2030-01-01
I113054,869,1.1871661082E8,2030-01-01
I114149,1003,9.110619017E7,2030-01-01
I114867,1780,1.067189844E8,
I116163,532,4.730681507E7,
I119696,-253,2.153007079E7,2025-10-26
I13405,-1321,1.3346979883E8,2025-10-18
I20686,130,1.941395999E7,2030-01-01
I13307,1211,1.5473610473E8,
I18098,1534,4.684301904E7,
I31281,1171,1.4644297414E8,
I32232,-1127,5.897243264E7,2025-10-05
I34649,1033,4.776003362E7,2030-01-01
I38384,1919,1.455611324E7,2030-01-01
I40998,744,6.547961865E7,2030-01-01
I43437,405,2.720237734E7,
I44208,-386,4.970832769E7,2025-10-07
I48223,745,4152826.86,
I48886,1765,1.1580687797E8,
I52660,637,1.010720311E7,2030-01-01
I53437,1132,2.557293274E7,2030-01-01
I53700,1485,1.5955205222E8,
I56046,541,1200678.38,2030-01-01
I61465,1571,3.631665464E7,
I62360,-137,0.0,2025-10-02
I65321,1259,9.720019239E7,
I70166,90,178460.07,
I71535,910,7.464023425E7,2030-01-01
I73489,-555,3.695627376E7,2025-09-01
I77301,333,3.641654663E7,
I78677,1482,1.2858599774E8,
I82335,1918,6.303804237E7,2030-01-01
I83655,-1967,4.010440764E7,2025-09-24
I87331,1493,1.8142976827E8,
I93870,-1016,1.0431887897E8,2025-09-13
I98439,890,8.038156696E7,
I98486,655,0.0,2030-01-01
I99926,878,2.29276667E7,2030-01-01
I103987,327,1.255615074E7,
I105569,-697,1.102694059E7,2025-09-18
I106202,-1517,3.974120948E7,2025-10-20
I111922,-1156,1.140584291E8,2025-10-18
I112777,1488,1.115994587E8,2030-01-01
I120494,347,3.710697322E7,2030-01-01
I123961,1490,1.6846221106E8,2030-01-01
I123972,988,0.0,2030-01-01
I128181,-850,3.249571346E7,2025-09-05
I11407,-1770,7.820262465E7,2025-10-20
I16014,1703,1.8152542711E8,2030-01-01
I31181,-113,1.585299228E7,2025-10-25
I37768,1001,8.262889574E7,2030-01-01
I37980,-286,3089439.21,2025-10-24
I38088,-223,2694798.05,2025-10-08
I38579,257,1.854296776E7,
I38773,-1060,1.303488578E8,2025-10-08
I44114,557,7.605333948E7,2030-01-01
I51892,808,1.0435963569E8,2030-01-01
I58270,1340,1.9628061248E8,2030-01-01
I61069,1087,1.3054303387E8,
I67039,1159,1.4734729369E8,
I67293,-820,0.0,2025-10-31
I74604,-1752,2.4304147079E8,2025-10-21
I75525,1405,1.010737295E7,2030-01-01
I77987,-319,4.51254091E7,
I83271,-334,2.764266476E7,2025-09-10
I83431,329,1.877303423E7,
I91474,267,1.82834908E7,
I100461,151,8941836.38,2030-01-01
I101620,413,4.837678349E7,2030-01-01
I104944,-1071,5.158660701E7,2025-09-06
I106257,802,1.0717929251E8,2030-01-01
I106747,-1669,3.425047221E7,2025-10-22
I107574,376,1.668958003E7,2030-01-01
I112329,597,5.688672895E7,2030-01-01
I113197,977,1908018.07,2030-01-01
I117407,1236,1.697025662E8,
I119753,479,2578967.69,
I125614,-646,8.644155668E7,2025-10-06
I127276,1453,7.410693211E7,
I11989,-934,5.487573157E7,2025-09-20
I13205,-1652,1.47322417E7,2025-10-05
I18658,1414,1.4183769055E8,2030-01-01
,1337,4818587.84,2025-10-09
I30168,-1970,2.0739780624E8,2025-10-04
I33246,-769,1.1042958585E8,2025-10-21
I34452,1979,2.3003964944E8,2030-01-01
I34949,749,6.364241777E7,
I37125,-1721,7.825611555E7,2025-09-06
I39937,378,3.401701258E7,2030-01-01
I40028,1751,2.6084395807E8,2030-01-01
I52827,296,3937430.27,2030-01-01
I57245,163,7874089.28,
I59907,485,4.073752282E7,
I65630,846,1.813555815E7,
I77620,320,4.460341298E7,
I79171,-1315,1.215329239E8,2025-10-14
I81430,-1422,1.4752392139E8,2025-09-22
I82696,-1445,2.0631548645E8,2025-10-08
I83441,611,4.32035827E7,2030-01-01
I83808,215,3.098400974E7,2030-01-01
I85774,834,2.526418674E7,2030-01-01
I85815,1178,1.615170751E8,
I85957,-1698,2.114677361E8,2025-09-20
I88832,799,4.890404074E7,2030-01-01
I90423,663,4364695.06,
I96078,1275,1.8412873839E8,2030-01-01
I103070,1564,2.3078775575E8,2030-01-01
I105229,-1716,1.1442767605E8,2025-09-01
I105518,217,2.468976675E7,2030-01-01
I117122,1971,0.0,2030-01-01
I119980,-1843,1.5061189351E8,2025-10-27
I120582,1717,2.080970554E8,
I121890,-356,1.401997885E7,2025-10-06
I124065,1243,7.656680552E7,
I125967,67,9879036.2,2030-01-01
I127388,923,1.3700730236E8,2030-01-01
I12953,-207,1.570117541E7,2025-09-07
I15285,1932,8.174187456E7,2030-01-01
I21349,1741,5.965681356E7,
I23048,443,1.565790071E7,
I23642,493,6.258199776E7,2030-01-01
I30279,879,1804483.79,2030-01-01
I33107,1806,1.9017759048E8,2030-01-01
I35305,205,2.633932434E7,
I35514,-86,1.156628005E7,2025-10-10
I38937,694,7.363042177E7,2030-01-01
I42773,488,2.504004409E7,
I44096,1526,6.282155E7,2030-01-01
I45322,1199,1.6937247862E8,
I45535,1192,3.480692285E7,2030-01-01
I49560,988,3.143765671E7,2030-01-01
I51556,389,1.847672841E7,2030-01-01
I60478,280,1.03050117E7,2030-01-01
I63202,-959,5.170024645E7,2025-09-12
I64037,-1316,7.024018184E7,2025-10-23
I64812,1005,4.504226074E7,2030-01-01
I68187,521,2.758198797E7,2030-01-01
I68277,349,8581804.03,
I76939,1168,3.594548116E7,2030-01-01
I84492,747,6.470391947E7,2030-01-01
I87483,514,1.206867485E7,
I88844,1567,1.907954009E8,
I94678,-1556,5.546795586E7,2025-10-09
I97180,1810,1.2156645074E8,
I98658,854,9.281950836E7,
I100866,779,5.585128022E7,
I104970,-407,2.832033273E7,2025-09-08
I106415,-1567,2.3204368758E8,2025-10-17
I113447,1149,9.017680293E7,
I113456,1627,1.6222698044E8,2030-01-01
I113969,313,1.474729922E7,
I114153,674,3.644303246E7,2030-01-01
I117370,819,5.657352036E7,
I118375,943,0.0,2030-01-01
I118699,-314,7524320.98,2025-09-23
I118943,1351,1.073010469E8,
I125617,-874,4.63128577E7,2025-10-29
I127766,1149,4.124932702E7,
I10066,-1262,1.5576658804E8,2025-09-08
I17778,1489,2.2263664296E8,2030-01-01
I18976,-1907,2.7971194181E8,2025-09-17
I13979,1312,1.1456106276E8,
I14061,1040,4831682.42,
I19402,388,3.843554491E7,
I22492,1108,6.810570967E7,
I23127,-1236,3.265605649E7,2030-01-01
I25811,-479,5.457005145E7,2025-09-21
I27843,1988,2.533601091E8,
I31112,-437,1.130529421E7,2025-09-06
I35388,139,5657323.9,2030-01-01
I35806,1931,2.0755503351E8,2030-01-01
I36016,983,9.448297938E7,2030-01-01
I37334,1293,7.569491316E7,2030-01-01
I38847,1293,8.845506447E7,2030-01-01
I45101,-1609,2.1803344294E8,
I47453,-699,9.438881811E7,2025-10-26
I48202,-455,6926470.49,2025-09-19
I49606,-50,5184382.92,2025-10-12
I53264,-1126,4.230211519E7,2025-09-03
I55278,206,2.658572898E7,
I56884,1637,1.1469812137E8,
I56988,-1517,2.2171369522E8,2025-10-13
I57141,324,3.342728533E7,2030-01-01
I57518,-1543,1.3651369605E8,2025-10-13
I59002,-1686,1.9316462965E8,2025-09-03
I64972,515,5.490087052E7,
I72418,-1169,1.4655117247E8,2025-10-17
I73233,340,1.320283128E7,2030-01-01
I77229,-744,5.973605019E7,2025-09-16
I79838,1294,1.591507882E7,2030-01-01
I81351,1103,4.676843372E7,2030-01-01
I88874,-151,6936270.04,2030-01-01
I96114,-732,2.56705885E7,2025-09-12
I96159,761,5.174843354E7,2030-01-01
I97961,-1840,1.0308043336E8,2025-10-09
I107445,504,7.558706849E7,
I108383,1339,9.836458734E7,2030-01-01
I114131,1060,1.5570577704E8,2030-01-01
I114907,154,1809233.85,2030-01-01
I123523,1018,6.954615411E7,
I15144,411,4.033148928E7,2030-01-01
I11462,716,2.460736052E7,
I22558,-1064,1.1950704462E8,2025-09-23
I25455,1669,1.0833788735E8,
I26393,-1974,1.6899813959E8,2025-09-26
I29611,1502,2.1015437835E8,2030-01-01
I32802,-1487,1.0226992654E8,2025-10-27
I35554,658,7.004191797E7,2030-01-01
I37894,741,3733075.85,
I38145,162,2.020717586E7,
I43117,1909,1.9845310671E8,
I43877,1799,5.54722865E7,2030-01-01
I46919,1366,8.953189335E7,2030-01-01
I47275,738,1.584334779E7,
I48449,-701,3.313094027E7,
I48613,51,6611779.52,
I55005,791,1.1645773535E8,2030-01-01
I65104,1819,1.576733091E7,2030-01-01
I73340,593,9688676.2,
I74561,-371,3.65093321E7,2025-10-29
I78564,-1634,8.804311353E7,2025-10-23
I79726,341,3.687719908E7,2030-01-01
I82764,467,3.625805598E7,
I86004,-1769,1.8242057639E8,2025-09-28
I86282,1818,2.4778032202E8,
I87930,532,1.872625655E7,2030-01-01
I92432,-779,9.490152796E7,2025-09-04
I96998,739,9.294402563E7,2030-01-01
I103513,107,3181517.7,
I114980,1771,0.0,
I115513,-1252,2.058566999E7,2025-10-31
I117137,1750,3.971361071E7,2030-01-01
I117414,-76,2766234.72,2025-10-15
I120515,1386,4.110819397E7,2030-01-01
I127136,1553,1.7429307024E8,2030-01-01
I13444,-1361,2.778484236E7,2025-09-18
I16072,1267,1.8335596394E8,2030-01-01
I21528,-905,3.30083313E7,2025-09-30
I10015,1471,1.2417212504E8,
I10714,1947,0.0,
I15538,276,3.084197018E7,
I23516,1882,1.4932415247E8,2030-01-01
I33843,1629,1.8694505092E8,2030-01-01
I35852,-594,2.289371613E7,2025-09-21
I40106,302,1.337749984E7,2030-01-01
I41151,185,98640.75,
I45510,272,3.951423251E7,2030-01-01
I51341,-1724,5.134069284E7,2025-09-02
I53040,-248,3.178205373E7,2025-10-07
I63567,-273,1.959775156E7,2025-09-01
I74064,947,1.330387264E7,2030-01-01
I74182,581,7.274463939E7,
I76704,1508,4.822096995E7,
I77509,52,893214.11,2030-01-01
I80728,950,1.4110619449E8,2030-01-01
I96847,1594,1.2753264691E8,2030-01-01
I101188,-867,1.888218727E7,2025-10-30
I101705,437,5.785795556E7,
I104998,399,4347491.65,
I105059,52,6902326.66,
I106649,-726,6.401303266E7,2025-10-06
I123301,692,9.884504987E7,2030-01-01
I126452,2000,2.2787725823E8,2030-01-01
