item_id,units_sold,revenue,sale_date
I12334,-1547,6.991134525E7,2025-10-29
I20732,1737,1.6687744234E8,2030-01-01
I22419,-1153,1.7208688539E8,2025-09-02
I14797,1925,7.400406896E7,
I27857,-1160,1.0497413748E8,2025-10-13
I32720,-1097,1.0721569985E8,2025-10-06
I36691,-71,3206599.77,2025-09-02
I38323,545,1.004699769E7,
I38720,-1544,7.016690105E7,2025-10-29
I40547,676,9.495822957E7,2030-01-01
I45433,734,1.748914518E7,
I45848,857,851046.35,2030-01-01
I49282,1131,1.4535617948E8,
I49369,1486,2.0005390311E8,2030-01-01
I50105,1129,4.552870056E7,
I51582,-1067,1.1714752921E8,2025-10-13
I53605,-1254,1.4876631908E8,2025-10-04
I63093,1602,2.0841210575E8,2030-01-01
I64678,1938,2.5919075947E8,2030-01-01
I65014,-860,1.0209086061E8,2025-09-09
I66177,-1082,1.2076870025E8,2025-10-16
I69004,467,1.168129265E7,
I69138,-1711,2.5139767803E8,2025-09-25
I71746,-210,2.215014524E7,2025-10-09
I73158,1596,4.434546528E7,2030-01-01
I74404,1818,2.1854444521E8,
I86069,1067,1.4907373074E8,2030-01-01
I86482,1473,4.997636935E7,
I88172,1312,3.699882795E7,2030-01-01
I95605,1232,1.6830845755E8,2030-01-01
I98738,-994,8.481956303E7,2025-10-01
I105634,1777,1.2594881468E8,2030-01-01
I112290,1246,1.3927991036E8,2030-01-01
I125071,562,8.112460861E7,2030-01-01
I128093,1108,1.4318390631E8,2030-01-01
I13364,-84,1.015665231E7,2025-10-05
I15726,-435,5.852373993E7,2025-09-02
I18628,-342,5173462.12,2025-10-20
I28304,587,5.809508735E7,
I28546,1508,1.309939886E7,
I30081,1759,1.2531909934E8,
I42423,429,3.170883174E7,2030-01-01
I44518,-767,1.840094268E7,2030-01-01
I46313,288,2.082589097E7,
I51739,594,7.965610946E7,2030-01-01
I54546,-962,1.023483637E7,2025-10-27
I58619,764,2.775804983E7,2030-01-01
I64967,420,4.544125696E7,2030-01-01
I69198,-1573,1.288472168E7,2025-10-23
I77745,-1110,1.256903599E7,2025-09-05
I81526,1662,2.3724371064E8,2030-01-01
I86209,-313,2.906596455E7,2025-09-07
I98396,379,1.404757099E7,
I106035,-514,3.317697722E7,2025-10-02
I107955,-1951,1.755403688E8,2025-10-01
I108580,-1673,5.620755309E7,2025-10-14
I109209,585,3.739016015E7,2030-01-01
I112429,1041,5.873230939E7,
I113916,1585,5.394475846E7,2030-01-01
I125959,-1152,6.594729375E7,2025-09-05
I126608,-579,6.675534053E7,2025-10-09
I11035,-1921,6.385557988E7,2025-09-25
I12849,-1244,1.0769489319E8,2025-10-12
I13332,-1343,1.6841415544E8,2025-09-07
I20714,-225,2511666.38,2025-09-06
I13036,1171,1.4282083433E8,
I17559,1895,6.935205972E7,
I27293,951,1235936.78,
I29516,1298,5896743.77,2030-01-01
I30964,1125,1.3251647527E8,
I31576,-1764,6.92176023E7,2025-10-26
I32615,110,7183568.77,2030-01-01
I35828,-458,3.258043158E7,2025-10-29
I41599,-1004,1.0818929131E8,2025-09-11
I43790,1156,1.6100531374E8,2030-01-01
I46184,1817,1.9582067584E8,2030-01-01
I47059,1115,8366952.63,2030-01-01
I48459,-1018,4.377529229E7,2030-01-01
I49705,1384,1.1057631165E8,2030-01-01
I60536,1842,1.349210614E8,
I65926,1005,2.472954849E7,2030-01-01
I66504,-1474,5.737689228E7,2025-09-10
I71618,-1146,6.036146901E7,2025-10-29
I72775,1746,4.380349658E7,2030-01-01
I77656,1032,6.855565296E7,
I79559,-1628,1.6874556787E8,2025-09-20
I80836,79,1250672.08,2030-01-01
I85182,1820,2.4402729178E8,2030-01-01
I86242,1425,1.9404299252E8,2030-01-01
I94984,1472,5.687099785E7,2030-01-01
I100647,1364,1.4481015609E8,
I101527,895,9.353577801E7,
I103379,344,1.511510103E7,
I103621,-539,1.498764856E7,2030-01-01
I109485,1709,1.2569735893E8,2030-01-01
I110117,368,1.222970476E7,2030-01-01
I113608,1775,2.072997295E7,
I115113,1350,1.4894339922E8,
I116626,1899,2.0528299322E8,
I118134,458,5.662943479E7,2030-01-01
I118540,730,2.620899578E7,2030-01-01
I15204,-874,1.0343502083E8,2025-10-11
I13522,602,7.296748867E7,
I19563,1306,7.147811836E7,
I21287,1796,8.839557564E7,
I23562,406,3.179343679E7,2030-01-01
I25285,1056,4.820326715E7,
I29689,-1889,4.107871566E7,2025-09-08
I32984,1345,3.729196767E7,
I32989,1633,1.2882494571E8,2030-01-01
I39525,-1495,2.573533874E7,2025-09-15
I39651,1879,1.5501256079E8,2030-01-01
I39842,-594,7.073341031E7,2025-10-31
I40020,1559,1.430600866E8,2030-01-01
I42977,1958,8.578330097E7,2030-01-01
